gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,contrast,contrast_name,pct_cells_neoplastic,pct_cells_normal,pct_cells_smm_neoplastic,pct_cells_nbm_normal,patient_prevalence,recurrence_n_samples,recurrence_frac,recurrence_denom,recurrence_smm_n,recurrence_smm_denom,mgus_coverage_n,mgus_coverage_frac,mgus_coverage_denom,smm_coverage_n,smm_coverage_frac,smm_coverage_denom,mm_coverage_n,mm_coverage_frac,mm_coverage_denom,smmh_coverage_n,smmh_coverage_frac,smmh_coverage_denom,smml_coverage_n,smml_coverage_frac,smml_coverage_denom,mm_retained
TRMO,17.39560831129223,0.604193403188739,0.2618249883099041,2.307623145861071,0.02102010600632967,0.10679694357581289,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0479250052664841,0.02543842744266718,0.04822014642766978,0.02433533447684391,0.9565217391304348,4,0.36363636363636365,11,2,5,1,0.3333333333333333,3,4,0.3333333333333333,12,5,0.625,8,2,0.2222222222222222,9,2,0.6666666666666666,3,True
HEMGN,1.1806989811777027,-0.6278753614004419,1.2590738670692792,-0.4986803219591354,0.6180046095806342,,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0018959342742784916,0.002408941992676816,0.0008836152486745772,0.0023584905660377358,0.391304347826087,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
ANP32B,350.233577581402,0.4997239224303854,0.19388526107807258,2.57742089136502,0.009954066338259855,0.06599512627328817,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.5547714345902676,0.3907303912121796,0.5248674577126988,0.3902229845626072,1.0,8,0.7272727272727273,11,4,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
NANS,347.25680928131646,-0.3696059795386843,0.17042649088491427,-2.168712021350437,0.030104554147187965,0.13304022812334182,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.5056351379818833,0.4923877433031413,0.4939409240090886,0.49506861063464835,1.0,4,0.36363636363636365,11,1,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
TRIM14,5.686485091163084,0.46215273980365873,0.6163688486004029,0.749798989441266,0.45337577748601465,0.6715056860447537,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.021487255108489572,0.008864906533050684,0.008709921736935118,0.008469125214408233,0.8695652173913043,0,0.0,11,0,5,0,0.0,3,1,0.08333333333333333,12,1,0.125,8,1,0.1111111111111111,9,0,0.0,3,True
CORO2A,1.6055077558010933,-1.4320966557624861,1.2682702339837109,-1.1291731189371108,0.25882481105626576,0.48831543837750724,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0004213187276174426,0.0028907303912121796,0.0006311537490532694,0.003001715265866209,0.043478260869565216,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
TBC1D2,1.5812953966649688,-0.8079491762030303,0.9526970016522723,-0.8480652031042353,0.3964016591745806,0.6236695421524413,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0031598904571308196,0.0037579495085758334,0.004670537742994194,0.003644939965694683,0.34782608695652173,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
ANKS6,4.412093061080188,0.768848184754422,0.5101431421087956,1.507122455035284,0.13177927202333906,0.32926987507184663,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.018643353697071836,0.005974176141838505,0.016536228225195657,0.00589622641509434,0.6521739130434783,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
GALNT12,4.815652687015056,0.6990084965003226,0.5909214453337172,1.1829127238825532,0.23684373838423112,0.463755658051007,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.01279755635137982,0.006937752938909231,0.012496844231254734,0.005681818181818182,0.6956521739130435,0,0.0,11,0,5,0,0.0,3,1,0.08333333333333333,12,0,0.0,8,1,0.1111111111111111,9,0,0.0,3,True
TGFBR1,8.625779852571764,0.2995395501534815,0.2911567253417484,1.0287914517581336,0.3035776845033302,0.53527064676908,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.018643353697071836,0.01416457891693968,0.022973996465539007,0.014365351629502573,0.8260869565217391,0,0.0,11,0,5,0,0.0,3,0,0.0,12,1,0.125,8,0,0.0,9,0,0.0,3,True
