names,scores,logfoldchanges,pvals,pvals_adj
GOLGA8Q,0.05518248,0.36576006,0.9559930860162518,1.0
PTGES3L,0.05518248,0.36576006,0.9559930860162518,1.0
ZNF354C,0.05502264,0.6523195,0.9561204269716913,1.0
NCAN,0.05501688,0.5881512,0.9561250158558763,1.0
CTC-366B18.2,0.05501688,0.5881512,0.9561250158558763,1.0
RP11-250B2.3,0.05501688,0.5881512,0.9561250158558763,1.0
CREG2,0.05485416,1.8292297,0.9562546524343496,1.0
INMT,0.05485272,1.7137147,0.9562557996658781,1.0
RP11-589M4.1,0.05485128,1.588146,0.9562569468974973,1.0
MTTP,0.05485128,1.588146,0.9562569468974973,1.0
SHROOM4,0.05485128,1.588146,0.9562569468974973,1.0
ZNF454,0.05485128,1.588146,0.9562569468974973,1.0
RP11-203B9.4,0.05485128,1.588146,0.9562569468974973,1.0
PLCD4,0.05485128,1.588146,0.9562569468974973,1.0
RP11-1081L13.4,0.05485128,1.588146,0.9562569468974973,1.0
SEMA3F-AS1,0.05485128,1.588146,0.9562569468974973,1.0
TBX15,0.05485128,1.588146,0.9562569468974973,1.0
CTD-2534I21.8,0.05485128,1.588146,0.9562569468974973,1.0
ANKRD30BL,0.05485128,1.588146,0.9562569468974973,1.0
RP11-998D10.4,0.05485128,1.588146,0.9562569468974973,1.0
RP11-160E2.19,0.05485128,1.588146,0.9562569468974973,1.0
AC007566.10,0.05485128,1.588146,0.9562569468974973,1.0
AC084082.3,0.05484336,1.0031165,0.9562632566730226,1.0
NRSN2,0.05476056,0.037471253,0.9563292226720881,1.0
RP11-884K10.7,0.05457192,0.1480834,0.9564795115427248,1.0
LYNX1,0.054075114,0.27310526,0.956875317865605,1.0
SLC2A12,0.053909514,0.38247097,0.9570072556743385,1.0
RP11-15H20.7,0.053909514,0.38247097,0.9570072556743385,1.0
RP11-347C18.5,0.053909514,0.38247097,0.9570072556743385,1.0
RP11-110I1.14,0.053909514,0.38247097,0.9570072556743385,1.0
CTC-329D1.2,0.053887196,0.27548632,0.9570250386865422,1.0
C12orf50,0.053743914,0.64328617,0.9571391946609462,1.0
RFX4,0.053743914,0.64328617,0.9571391946609462,1.0
RP11-434H6.6,0.053743914,0.64328617,0.9571391946609462,1.0
STARD8,0.053743914,0.64328617,0.9571391946609462,1.0
RP11-423H2.3,0.053743914,0.64328617,0.9571391946609462,1.0
MKRN3,0.053579032,2.4506667,0.9572705611664103,1.0
RP11-352G9.1,0.053578313,2.298626,0.9572711348218201,1.0
CTD-2140B24.6,0.053578313,2.298626,0.9572711348218201,1.0
PLAC1,0.053578313,2.298626,0.9572711348218201,1.0
RP11-923I11.8,0.053578313,2.298626,0.9572711348218201,1.0
CTB-11I22.1,0.053578313,2.298626,0.9572711348218201,1.0
RP11-373D23.3,0.053578313,2.298626,0.9572711348218201,1.0
HPX,0.053578313,2.298626,0.9572711348218201,1.0
OR13A1,0.053578313,2.298626,0.9572711348218201,1.0
MOGAT3,0.053578313,2.298626,0.9572711348218201,1.0
PODNL1,0.053578313,2.298626,0.9572711348218201,1.0
RP11-149P24.1,0.053578313,2.298626,0.9572711348218201,1.0
GS1-24F4.2,0.053578313,2.298626,0.9572711348218201,1.0
RP11-323J4.1,0.053578313,2.298626,0.9572711348218201,1.0
RP11-366L5.1,0.053578313,2.298626,0.9572711348218201,1.0
CAPNS2,0.053578313,2.298626,0.9572711348218201,1.0
RP11-49I11.1,0.053578313,2.298626,0.9572711348218201,1.0
XACT,0.053578313,2.298626,0.9572711348218201,1.0
FLJ12825,0.053578313,2.298626,0.9572711348218201,1.0
RP11-269F20.1,0.053578313,2.298626,0.9572711348218201,1.0
RP11-374A4.1,0.053578313,2.298626,0.9572711348218201,1.0
LINC00487,0.053578313,2.298626,0.9572711348218201,1.0
CBR3,0.053578313,2.298626,0.9572711348218201,1.0
EDNRB-AS1,0.053578313,2.298626,0.9572711348218201,1.0
SLC39A5,0.053578313,2.298626,0.9572711348218201,1.0
RP11-21A7A.3,0.053578313,2.298626,0.9572711348218201,1.0
RP11-154D17.1,0.053578313,2.298626,0.9572711348218201,1.0
RP11-500G10.5,0.053578313,2.298626,0.9572711348218201,1.0
RP2,0.053318392,0.09012556,0.957478225868415,1.0
ENG,0.05327231,0.12868007,0.957514940370488,1.0
SHTN1,0.05298503,0.24422503,0.9577438343737321,1.0
LMNTD1,0.05296775,0.21617265,0.9577576025453556,1.0
RP4-657D16.3,0.05290079,0.09506438,0.9578109543293875,1.0
STON1,0.05280215,0.28071198,0.9578895481618802,1.0
FAM132A,0.05280215,0.28071198,0.9578895481618802,1.0
RP11-895M11.3,0.05278631,0.23830187,0.9579021691074533,1.0
CDYL2,0.05277335,0.20263998,0.9579124953434989,1.0
LINC00562,0.05267543,0.15582687,0.9579905160217684,1.0
GNAZ,0.05265383,0.4980176,0.9580077265197073,1.0
PNMA5,0.052645188,0.4506739,0.9580146107243641,1.0
NLGN4Y,0.05263655,0.40172634,0.9580214949321522,1.0
RP11-48G14.3,0.05263655,0.40172634,0.9580214949321522,1.0
ZMYND10,0.05263655,0.40172634,0.9580214949321522,1.0
RP11-2E11.6,0.05247095,0.7136688,0.958153442852563,1.0
SUGCT,0.05247095,0.7136688,0.958153442852563,1.0
CTD-3037G24.5,0.05247095,0.7136688,0.958153442852563,1.0
GPR141,0.05247095,0.7136688,0.958153442852563,1.0
HSD17B3,0.05247095,0.7136688,0.958153442852563,1.0
NPR2,0.05247095,0.7136688,0.958153442852563,1.0
NPHP4,0.052447908,0.07419039,0.958171800915036,1.0
TNNI3K,0.05230535,18.492178,0.9582853919195042,1.0
INHBA,0.05230535,18.492178,0.9582853919195042,1.0
RP11-331F9.4,0.05230535,18.492178,0.9582853919195042,1.0
PLD5,0.05230535,18.492178,0.9582853919195042,1.0
RP11-80H5.2,0.05230535,18.492178,0.9582853919195042,1.0
OCA2,0.05230535,18.492178,0.9582853919195042,1.0
CTC-499B15.5,0.05230535,18.492178,0.9582853919195042,1.0
RP11-56I23.1,0.05230535,18.492178,0.9582853919195042,1.0
CTC-250I14.3,0.05230535,18.492178,0.9582853919195042,1.0
LINC01074,0.05230535,18.492178,0.9582853919195042,1.0
RP11-61L19.2,0.05230535,18.492178,0.9582853919195042,1.0
RP13-216E22.4,0.05230535,18.492178,0.9582853919195042,1.0
MAGEA3,0.05230535,18.492178,0.9582853919195042,1.0
FAM19A1,0.05230535,18.492178,0.9582853919195042,1.0
LINC01447,0.05230535,18.492178,0.9582853919195042,1.0
SLC17A8,0.05230535,18.492178,0.9582853919195042,1.0
RP11-574F11.3,0.05230535,18.492178,0.9582853919195042,1.0
EXTL1,0.05230535,18.492178,0.9582853919195042,1.0
RP11-553A10.1,0.05230535,18.492178,0.9582853919195042,1.0
SRRM3,0.05230535,18.492178,0.9582853919195042,1.0
VPS13A-AS1,0.05230535,18.492178,0.9582853919195042,1.0
AC109642.1,0.05230535,18.492178,0.9582853919195042,1.0
FRMD5,0.05230535,18.492178,0.9582853919195042,1.0
