gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
ZNF286A,,0,,4_broad
ZNF287,parathyroid gland,1,,2_restricted
ZNF292,"bone marrow, retina",2,0.0018374780986167983,3_vital
ZNF296,esophagus,1,,2_restricted
ZNF3,fallopian tube,1,,2_restricted
ZNF30,"cerebellum, retina",2,,3_vital
ZNF300,ovary,1,,2_restricted
ZNF302,"cerebellum, retina",2,,3_vital
ZNF304,parathyroid gland,1,,2_restricted
ZNF311,testis,1,,1b_testis_CT
ZNF316,,0,,4_broad
ZNF317,,0,,4_broad
ZNF318,"lymph node, testis, tonsil",3,0.026099928201178135,1a_lymphoid
ZNF319,bone marrow,1,1.4584842122710614e-07,1a_lymphoid
ZNF32,,0,,4_broad
ZNF320,,0,,4_broad
ZNF322,,0,,4_broad
ZNF324,cerebellum,1,,3_vital
ZNF324B,,0,,4_broad
ZNF326,retina,1,,3_vital
ZNF329,,0,,4_broad
ZNF330,heart muscle,1,,3_vital
ZNF331,"adrenal gland, ovary",2,,3_vital
ZNF333,,0,,4_broad
ZNF334,,0,,4_broad
ZNF335,bone marrow,1,0.013884536628577878,1a_lymphoid
ZNF337,cerebellum,1,,3_vital
ZNF33A,,0,,4_broad
ZNF33B,pancreas,1,,3_vital
ZNF34,cerebellum,1,,3_vital
ZNF341,,0,,4_broad
ZNF343,,0,,4_broad
ZNF345,testis,1,,1b_testis_CT
ZNF346,cerebellum,1,,3_vital
ZNF347,"bone marrow, retina",2,4.27175017397367e-06,3_vital
ZNF35,testis,1,,1b_testis_CT
ZNF350,"bone marrow, prostate",2,8.545726452052535e-05,1a_lymphoid
ZNF354A,,0,,4_broad
ZNF354B,,0,,4_broad
ZNF354C,,0,,4_broad
ZNF358,skeletal muscle,1,,3_vital
ZNF362,blood vessel,1,,2_restricted
ZNF365,cerebral cortex,1,,3_vital
ZNF366,placenta,1,,2_restricted
ZNF367,bone marrow,1,4.134357424354204e-14,1a_lymphoid
ZNF37A,retina,1,,3_vital
ZNF382,"cerebellum, retina",2,,3_vital
ZNF383,tongue,1,,2_restricted
ZNF384,bone marrow,1,0.008998095606199432,1a_lymphoid
ZNF385A,retina,1,,3_vital
ZNF385B,retina,1,,3_vital
ZNF385C,"cerebellum, testis",2,,3_vital
ZNF385D,blood vessel,1,,2_restricted
ZNF391,,0,,4_broad
ZNF394,bone marrow,1,5.821399481475228e-29,1a_lymphoid
ZNF395,,0,,4_broad
ZNF396,,0,,4_broad
ZNF397,retina,1,,3_vital
ZNF398,testis,1,,1b_testis_CT
ZNF404,retina,1,,3_vital
ZNF407,,0,,4_broad
ZNF408,"bone marrow, liver",2,0.03121914651868607,3_vital
ZNF41,"skeletal muscle, tongue",2,,3_vital
ZNF410,bone marrow,1,0.0011717565209870028,1a_lymphoid
ZNF414,,0,,4_broad
ZNF415,testis,1,,1b_testis_CT
ZNF416,,0,,4_broad
ZNF417,epididymis,1,,2_restricted
ZNF418,retina,1,,3_vital
ZNF419,,0,,4_broad
ZNF420,testis,1,,1b_testis_CT
