gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
A1BG,liver,1,,3_vital
A1CF,liver,1,,3_vital
A2M,"liver, lung",2,,3_vital
A2ML1,esophagus,1,,2_restricted
A3GALT2,testis,1,,1b_testis_CT
A4GALT,heart muscle,1,,3_vital
A4GNT,stomach,1,,2_restricted
AAAS,,0,,4_broad
AACS,"breast, salivary gland, skin",3,,2_restricted
AADAC,liver,1,,3_vital
AADACL2,skin,1,,2_restricted
AADACL3,"placenta, skin",2,,2_restricted
AADACL4,choroid plexus,1,,3_vital
AADAT,liver,1,,3_vital
AAGAB,,0,,4_broad
AAK1,parathyroid gland,1,,2_restricted
AAMDC,skeletal muscle,1,,3_vital
AAMP,,0,,4_broad
AANAT,retina,1,,3_vital
AAR2,,0,,4_broad
AARD,testis,1,,1b_testis_CT
AARS1,cerebral cortex,1,,3_vital
AARS2,,0,,4_broad
AARSD1,"skeletal muscle, testis, tongue",3,,3_vital
AASDH,retina,1,,3_vital
AASDHPPT,cerebral cortex,1,,3_vital
AASS,"liver, ovary",2,,3_vital
AATF,,0,,4_broad
AATK,spinal cord,1,,3_vital
ABAT,liver,1,,3_vital
ABCA1,"adrenal gland, liver",2,,3_vital
ABCA10,ovary,1,,2_restricted
ABCA12,skin,1,,2_restricted
ABCA13,bone marrow,1,8.502074827683739e-49,1a_lymphoid
ABCA2,spinal cord,1,,3_vital
ABCA3,lung,1,,3_vital
ABCA4,retina,1,,3_vital
ABCA5,skeletal muscle,1,,3_vital
ABCA6,liver,1,,3_vital
ABCA7,"pituitary gland, spleen",2,0.005114571716702175,3_vital
ABCA8,,0,,4_broad
ABCA9,adipose tissue,1,,2_restricted
ABCB1,"adrenal gland, small intestine",2,,3_vital
ABCB10,bone marrow,1,2.21161219320681e-18,1a_lymphoid
ABCB11,liver,1,,3_vital
ABCB4,liver,1,,3_vital
ABCB5,epididymis,1,,2_restricted
ABCB6,skeletal muscle,1,,3_vital
ABCB7,skeletal muscle,1,,3_vital
ABCB8,cerebellum,1,,3_vital
ABCB9,"cerebellum, cerebral cortex",2,,3_vital
ABCC1,"blood vessel, skeletal muscle",2,,3_vital
ABCC10,cerebellum,1,,3_vital
ABCC11,breast,1,,2_restricted
ABCC12,"skeletal muscle, testis",2,,3_vital
ABCC2,liver,1,,3_vital
ABCC3,"adrenal gland, liver",2,,3_vital
ABCC4,prostate,1,,2_restricted
ABCC5,"choroid plexus, retina, skeletal muscle",3,,3_vital
ABCC6,liver,1,,3_vital
ABCC8,"cerebellum, pituitary gland",2,,3_vital
ABCC9,"liver, skeletal muscle",2,,3_vital
ABCD1,"adrenal gland, endometrium",2,,3_vital
ABCD2,adipose tissue,1,,2_restricted
ABCD3,liver,1,,3_vital
ABCD4,,0,,4_broad
ABCE1,,0,,4_broad
ABCF1,skeletal muscle,1,,3_vital
ABCF2,skeletal muscle,1,,3_vital
ABCF2-H2BK1,skeletal muscle,1,,3_vital
ABCF3,"adrenal gland, skeletal muscle",2,,3_vital
ABCG1,adrenal gland,1,,3_vital
ABCG2,small intestine,1,,2_restricted
ABCG4,retina,1,,3_vital
ABCG5,"duodenum, liver, small intestine",3,,3_vital
ABCG8,"duodenum, liver, small intestine",3,,3_vital
ABHD1,testis,1,,1b_testis_CT
ABHD10,"epididymis, kidney",2,,3_vital
ABHD11,,0,,4_broad
ABHD12,epididymis,1,,2_restricted
ABHD12B,"retina, skin",2,,3_vital
ABHD13,bone marrow,1,6.028398066492555e-05,1a_lymphoid
ABHD14A,"cerebellum, choroid plexus",2,,3_vital
ABHD14A-ACY1,,0,,4_broad
ABHD14B,liver,1,,3_vital
ABHD15,"adipose tissue, liver",2,,3_vital
ABHD16A,,0,,4_broad
ABHD16B,testis,1,,1b_testis_CT
ABHD17A,hippocampal formation,1,,3_vital
ABHD17B,thymus,1,0.0022100911404533867,1a_lymphoid
ABHD17C,"colon, rectum",2,,2_restricted
ABHD18,"heart muscle, tongue",2,,3_vital
ABHD2,liver,1,,3_vital
ABHD3,"colon, rectum",2,,2_restricted
ABHD4,,0,,4_broad
ABHD5,bone marrow,1,0.0012818338221301632,1a_lymphoid
ABHD6,liver,1,,3_vital
ABHD8,cerebral cortex,1,,3_vital
ABI1,bone marrow,1,4.695573232125192e-05,1a_lymphoid
ABI2,cerebral cortex,1,,3_vital
ABI3,spleen,1,4.4414391515992215e-13,1a_lymphoid
ABI3BP,,0,,4_broad
ABITRAM,,0,,4_broad
ABL1,colon,1,,2_restricted
ABL2,gallbladder,1,,2_restricted
ABLIM1,"cerebellum, heart muscle",2,,3_vital
ABLIM2,skeletal muscle,1,,3_vital
ABLIM3,liver,1,,3_vital
ABO,"ovary, small intestine",2,,2_restricted
ABR,cerebral cortex,1,,3_vital
ABRA,skeletal muscle,1,,3_vital
ABRACL,,0,,4_broad
ABRAXAS1,"ovary, testis",2,,2_restricted
ABRAXAS2,skeletal muscle,1,,3_vital
ABT1,bone marrow,1,0.0001399147898367607,1a_lymphoid
ABTB1,"cerebellum, spleen",2,0.005176205803109465,3_vital
ABTB2,spinal cord,1,,3_vital
ABTB3,parathyroid gland,1,,2_restricted
ACAA1,liver,1,,3_vital
ACAA2,liver,1,,3_vital
ACACA,,0,,4_broad
ACACB,"adipose tissue, skeletal muscle",2,,3_vital
ACAD10,liver,1,,3_vital
ACAD11,"kidney, liver",2,,3_vital
ACAD8,tongue,1,,2_restricted
ACAD9,skin,1,,2_restricted
ACADL,"blood vessel, liver",2,,3_vital
ACADM,"liver, skeletal muscle, tongue",3,,3_vital
ACADS,"liver, skeletal muscle",2,,3_vital
ACADSB,liver,1,,3_vital
ACADVL,"skeletal muscle, tongue",2,,3_vital
ACAN,blood vessel,1,,2_restricted
ACAP1,spleen,1,1.1181867104111173e-09,1a_lymphoid
ACAP2,bone marrow,1,0.00764080479961665,1a_lymphoid
ACAP3,cerebellum,1,,3_vital
ACAT1,"kidney, liver",2,,3_vital
ACAT2,liver,1,,3_vital
ACBD3,,0,,4_broad
ACBD4,liver,1,,3_vital
ACBD5,liver,1,,3_vital
ACBD6,testis,1,,1b_testis_CT
ACBD7,"amygdala, basal ganglia, cerebral cortex",3,,3_vital
ACCS,,0,,4_broad
ACCSL,"skin, testis",2,,2_restricted
ACD,,0,,4_broad
ACE,"duodenum, small intestine",2,,2_restricted
ACE2,"duodenum, small intestine",2,,2_restricted
ACER1,skin,1,,2_restricted
ACER2,"stomach, urinary bladder",2,,2_restricted
ACER3,spinal cord,1,,3_vital
ACHE,"hypothalamus, skeletal muscle",2,,3_vital
ACIN1,,0,,4_broad
ACKR1,"adipose tissue, breast",2,,2_restricted
ACKR2,"liver, placenta",2,,3_vital
ACKR3,blood vessel,1,,2_restricted
ACKR4,duodenum,1,,2_restricted
ACLY,adipose tissue,1,,2_restricted
ACMSD,"kidney, liver",2,,3_vital
ACO1,"adipose tissue, liver",2,,3_vital
ACO2,"skeletal muscle, tongue",2,,3_vital
ACOD1,appendix,1,1.5205325891804904e-18,1a_lymphoid
ACOT1,liver,1,,3_vital
ACOT11,duodenum,1,,2_restricted
ACOT12,liver,1,,3_vital
ACOT13,liver,1,,3_vital
ACOT2,"liver, skeletal muscle",2,,3_vital
ACOT4,"kidney, liver",2,,3_vital
ACOT6,"kidney, liver, skeletal muscle",3,,3_vital
ACOT7,"cerebral cortex, hypothalamus",2,,3_vital
ACOT8,,0,,4_broad
ACOT9,heart muscle,1,,3_vital
ACOX1,liver,1,,3_vital
ACOX2,liver,1,,3_vital
ACOX3,esophagus,1,,2_restricted
ACOXL,"epididymis, lung",2,,3_vital
ACP1,,0,,4_broad
ACP2,liver,1,,3_vital
ACP3,prostate,1,,2_restricted
ACP4,testis,1,,1b_testis_CT
ACP5,lung,1,,3_vital
ACP6,,0,,4_broad
ACP7,"cerebellum, skin",2,,3_vital
ACR,testis,1,,1b_testis_CT
ACRBP,testis,1,,1b_testis_CT
ACRV1,testis,1,,1b_testis_CT
ACSBG1,"basal ganglia, spinal cord",2,,3_vital
ACSBG2,testis,1,,1b_testis_CT
ACSF2,kidney,1,,3_vital
ACSF3,thymus,1,0.0006952057598937713,1a_lymphoid
ACSL1,"liver, skeletal muscle",2,,3_vital
ACSL3,parathyroid gland,1,,2_restricted
ACSL4,urinary bladder,1,,2_restricted
ACSL5,"duodenum, small intestine",2,,2_restricted
ACSL6,retina,1,,3_vital
ACSM1,breast,1,,2_restricted
ACSM2A,"kidney, liver",2,,3_vital
ACSM2B,"kidney, liver",2,,3_vital
ACSM3,liver,1,,3_vital
ACSM4,testis,1,,1b_testis_CT
ACSM5,liver,1,,3_vital
ACSM6,"pancreas, thymus",2,9.973915225284992e-05,3_vital
ACSS1,choroid plexus,1,,3_vital
ACSS2,"skeletal muscle, tongue",2,,3_vital
ACSS3,liver,1,,3_vital
ACTA1,skeletal muscle,1,,3_vital
ACTA2,"blood vessel, smooth muscle",2,,2_restricted
ACTB,"blood vessel, colon",2,,2_restricted
ACTBL2,skin,1,,2_restricted
ACTC1,heart muscle,1,,3_vital
ACTG1,,0,,4_broad
ACTG2,"colon, smooth muscle",2,,2_restricted
ACTL10,testis,1,,1b_testis_CT
ACTL6A,testis,1,,1b_testis_CT
ACTL6B,"cerebellum, cerebral cortex",2,,3_vital
ACTL7A,testis,1,,1b_testis_CT
ACTL7B,testis,1,,1b_testis_CT
ACTL8,testis,1,,1b_testis_CT
ACTL9,testis,1,,1b_testis_CT
ACTN1,smooth muscle,1,,2_restricted
ACTN2,"skeletal muscle, tongue",2,,3_vital
ACTN3,skeletal muscle,1,,3_vital
ACTN4,blood vessel,1,,2_restricted
ACTR10,,0,,4_broad
ACTR1A,skeletal muscle,1,,3_vital
ACTR1B,,0,,4_broad
ACTR2,"lymph node, tonsil",2,0.01696987065114946,1a_lymphoid
ACTR3,"lymph node, tonsil",2,0.002722247438313451,1a_lymphoid
ACTR3B,basal ganglia,1,,3_vital
ACTR3C,parathyroid gland,1,,2_restricted
ACTR5,testis,1,,1b_testis_CT
ACTR6,breast,1,,2_restricted
ACTR8,testis,1,,1b_testis_CT
ACTRT1,testis,1,,1b_testis_CT
ACTRT2,testis,1,,1b_testis_CT
ACTRT3,testis,1,,1b_testis_CT
ACVR1,thyroid gland,1,,2_restricted
ACVR1B,parathyroid gland,1,,2_restricted
ACVR1C,adipose tissue,1,,2_restricted
ACVR2A,"skeletal muscle, skin",2,,3_vital
ACVR2B,"retina, skeletal muscle",2,,3_vital
ACVRL1,"lung, placenta",2,,3_vital
ACY1,"kidney, liver",2,,3_vital
ACY3,"duodenum, kidney, small intestine",3,,3_vital
ACYP1,,0,,4_broad
ACYP2,"skeletal muscle, tongue",2,,3_vital
ADA,"duodenum, thymus",2,0.04240467705774374,1a_lymphoid
ADA2,spleen,1,2.227908762255786e-05,1a_lymphoid
ADAD1,testis,1,,1b_testis_CT
ADAD2,testis,1,,1b_testis_CT
ADAL,tongue,1,,2_restricted
ADAM10,thymus,1,0.003366790629475621,1a_lymphoid
ADAM11,cerebellum,1,,3_vital
ADAM12,placenta,1,,2_restricted
ADAM15,skin,1,,2_restricted
ADAM17,placenta,1,,2_restricted
ADAM18,testis,1,,1b_testis_CT
ADAM19,,0,,4_broad
ADAM2,testis,1,,1b_testis_CT
ADAM20,testis,1,,1b_testis_CT
ADAM21,testis,1,,1b_testis_CT
ADAM22,cerebellum,1,,3_vital
ADAM23,parathyroid gland,1,,2_restricted
ADAM28,epididymis,1,,2_restricted
ADAM29,testis,1,,1b_testis_CT
ADAM30,testis,1,,1b_testis_CT
ADAM32,testis,1,,1b_testis_CT
ADAM33,cervix,1,,2_restricted
ADAM7,epididymis,1,,2_restricted
ADAM8,"bone marrow, spleen",2,1.502964471606863e-08,1a_lymphoid
ADAM9,,0,,4_broad
ADAMDEC1,"rectum, small intestine",2,,2_restricted
ADAMTS1,ovary,1,,2_restricted
ADAMTS10,blood vessel,1,,2_restricted
ADAMTS12,adipose tissue,1,,2_restricted
ADAMTS13,liver,1,,3_vital
ADAMTS14,"gallbladder, placenta",2,,2_restricted
ADAMTS15,adipose tissue,1,,2_restricted
ADAMTS16,ovary,1,,2_restricted
ADAMTS17,"liver, thymus",2,5.97484373152318e-07,3_vital
ADAMTS18,"cerebellum, placenta",2,,3_vital
ADAMTS19,"cervix, endometrium",2,,2_restricted
ADAMTS2,adipose tissue,1,,2_restricted
ADAMTS20,"placenta, retina",2,,3_vital
ADAMTS3,retina,1,,3_vital
ADAMTS4,"adipose tissue, ovary",2,,2_restricted
ADAMTS5,"ovary, placenta",2,,2_restricted
ADAMTS6,placenta,1,,2_restricted
ADAMTS7,heart muscle,1,,3_vital
ADAMTS8,lung,1,,3_vital
ADAMTS9,"adipose tissue, placenta",2,,2_restricted
ADAMTSL1,"endometrium, smooth muscle",2,,2_restricted
ADAMTSL2,heart muscle,1,,3_vital
ADAMTSL3,blood vessel,1,,2_restricted
ADAMTSL4,placenta,1,,2_restricted
ADAMTSL5,cervix,1,,2_restricted
ADAP1,"cerebral cortex, spinal cord",2,,3_vital
ADAP2,"placenta, spleen",2,0.001482697545894622,1a_lymphoid
ADAR,thymus,1,0.03502418985898601,1a_lymphoid
ADARB1,blood vessel,1,,2_restricted
ADARB2,spinal cord,1,,3_vital
ADAT1,testis,1,,1b_testis_CT
ADAT2,,0,,4_broad
ADAT3,skin,1,,2_restricted
ADCK1,,0,,4_broad
ADCK2,"skin, spinal cord",2,,3_vital
ADCK5,,0,,4_broad
ADCY1,"cerebral cortex, retina",2,,3_vital
ADCY10,testis,1,,1b_testis_CT
ADCY2,skeletal muscle,1,,3_vital
ADCY3,adipose tissue,1,,2_restricted
ADCY4,adipose tissue,1,,2_restricted
ADCY5,"basal ganglia, heart muscle",2,,3_vital
ADCY6,heart muscle,1,,3_vital
ADCY7,,0,,4_broad
ADCY8,epididymis,1,,2_restricted
ADCY9,skeletal muscle,1,,3_vital
ADCYAP1,"appendix, hypothalamus",2,0.0035805136157241414,3_vital
ADCYAP1R1,cerebral cortex,1,,3_vital
ADD1,retina,1,,3_vital
ADD2,bone marrow,1,4.1801218280619865e-09,1a_lymphoid
ADD3,,0,,4_broad
ADGB,testis,1,,1b_testis_CT
ADGRA1,"cerebral cortex, hypothalamus",2,,3_vital
ADGRA2,,0,,4_broad
ADGRA3,liver,1,,3_vital
ADGRB1,"basal ganglia, cerebral cortex",2,,3_vital
ADGRB2,"basal ganglia, cerebral cortex",2,,3_vital
ADGRB3,cerebral cortex,1,,3_vital
ADGRD1,heart muscle,1,,3_vital
ADGRE1,spleen,1,1.007973317823061e-08,1a_lymphoid
ADGRE2,"appendix, spleen",2,2.2028180366749215e-07,1a_lymphoid
ADGRE3,"appendix, spleen",2,0.00043013655960547087,1a_lymphoid
ADGRE5,"blood vessel, bone marrow",2,0.0009031251466165952,1a_lymphoid
ADGRF1,"kidney, urinary bladder",2,,3_vital
ADGRF3,"kidney, pancreas",2,,3_vital
ADGRF4,skin,1,,2_restricted
ADGRF5,lung,1,,3_vital
ADGRG1,thyroid gland,1,,2_restricted
ADGRG2,epididymis,1,,2_restricted
ADGRG3,bone marrow,1,5.4571673137397555e-27,1a_lymphoid
ADGRG4,duodenum,1,,2_restricted
ADGRG5,"lymph node, tonsil",2,0.0003701436593812371,1a_lymphoid
ADGRG6,"liver, placenta",2,,3_vital
ADGRG7,"duodenum, small intestine",2,,2_restricted
ADGRL1,cerebellum,1,,3_vital
ADGRL2,lung,1,,3_vital
ADGRL3,cerebral cortex,1,,3_vital
ADGRL4,"adipose tissue, breast",2,,2_restricted
ADGRV1,adrenal gland,1,,3_vital
ADH1A,liver,1,,3_vital
ADH1B,liver,1,,3_vital
ADH1C,liver,1,,3_vital
ADH4,liver,1,,3_vital
ADH5,liver,1,,3_vital
ADH6,liver,1,,3_vital
ADH7,esophagus,1,,2_restricted
ADHFE1,"liver, skeletal muscle, tongue",3,,3_vital
ADI1,liver,1,,3_vital
ADIG,testis,1,,1b_testis_CT
ADIPOQ,adipose tissue,1,,2_restricted
ADIPOR1,bone marrow,1,0.0003274070520192239,1a_lymphoid
ADIPOR2,spinal cord,1,,3_vital
ADIRF,blood vessel,1,,2_restricted
ADK,liver,1,,3_vital
ADM,adipose tissue,1,,2_restricted
ADM2,"pancreas, thyroid gland",2,,3_vital
ADM5,adipose tissue,1,,2_restricted
ADNP,,0,,4_broad
ADNP2,bone marrow,1,7.075295206096023e-14,1a_lymphoid
ADO,"spinal cord, testis",2,,3_vital
ADORA1,,0,,4_broad
ADORA2A,basal ganglia,1,,3_vital
ADORA2B,urinary bladder,1,,2_restricted
ADORA3,spinal cord,1,,3_vital
ADPGK,,0,,4_broad
ADPRH,,0,,4_broad
ADPRHL1,"heart muscle, skeletal muscle, tongue",3,,3_vital
ADPRM,retina,1,,3_vital
ADPRS,choroid plexus,1,,3_vital
ADRA1A,liver,1,,3_vital
ADRA1B,blood vessel,1,,2_restricted
ADRA1D,"blood vessel, cervix, hippocampal formation",3,,3_vital
ADRA2A,adipose tissue,1,,2_restricted
ADRA2B,heart muscle,1,,3_vital
ADRA2C,blood vessel,1,,2_restricted
ADRB1,"heart muscle, placenta",2,,3_vital
ADRB2,"breast, skin",2,,2_restricted
ADRB3,ovary,1,,2_restricted
ADRM1,skeletal muscle,1,,3_vital
ADSL,"skeletal muscle, tongue",2,,3_vital
ADSS1,skeletal muscle,1,,3_vital
ADSS2,testis,1,,1b_testis_CT
ADTRP,"choroid plexus, small intestine",2,,3_vital
AEBP1,blood vessel,1,,2_restricted
AEBP2,,0,,4_broad
AEN,pituitary gland,1,,3_vital
AFAP1,,0,,4_broad
AFAP1L1,"heart muscle, skeletal muscle",2,,3_vital
AFAP1L2,"parathyroid gland, spleen, thyroid gland",3,0.022385621471867748,1a_lymphoid
AFDN,esophagus,1,,2_restricted
AFF1,retina,1,,3_vital
AFF2,"bone marrow, epididymis, placenta",3,0.04134441538073649,1a_lymphoid
AFF3,prostate,1,,2_restricted
AFF4,"bone marrow, retina",2,0.03981194046934278,3_vital
AFG1L,testis,1,,1b_testis_CT
AFG3L2,"skeletal muscle, tongue",2,,3_vital
AFM,liver,1,,3_vital
AFMID,liver,1,,3_vital
AFP,liver,1,,3_vital
AFTPH,kidney,1,,3_vital
AGA,"choroid plexus, epididymis",2,,3_vital
AGAP1,retina,1,,3_vital
AGAP2,"cerebellum, hippocampal formation",2,,3_vital
AGAP3,"cerebral cortex, hippocampal formation",2,,3_vital
AGAP4,cerebellum,1,,3_vital
AGAP5,"pancreas, testis",2,,3_vital
AGAP6,,0,,4_broad
AGAP9,liver,1,,3_vital
AGBL1,tongue,1,,2_restricted
AGBL2,testis,1,,1b_testis_CT
AGBL3,epididymis,1,,2_restricted
AGBL4,"cerebral cortex, retina",2,,3_vital
AGBL5,testis,1,,1b_testis_CT
AGER,lung,1,,3_vital
AGFG1,bone marrow,1,2.0829321411023062e-08,1a_lymphoid
AGFG2,salivary gland,1,,2_restricted
AGGF1,"epididymis, retina",2,,3_vital
AGK,heart muscle,1,,3_vital
AGL,"skeletal muscle, tongue",2,,3_vital
AGMAT,kidney,1,,3_vital
AGMO,liver,1,,3_vital
AGO1,,0,,4_broad
AGO2,skeletal muscle,1,,3_vital
AGO3,bone marrow,1,0.0002696033455228036,1a_lymphoid
AGO4,"bone marrow, skin",2,0.0065251664485843925,1a_lymphoid
AGPAT1,,0,,4_broad
AGPAT2,"adipose tissue, liver",2,,3_vital
AGPAT3,,0,,4_broad
AGPAT4,spinal cord,1,,3_vital
AGPAT5,spinal cord,1,,3_vital
AGPS,,0,,4_broad
AGR2,"rectum, stomach",2,,2_restricted
AGR3,small intestine,1,,2_restricted
AGRN,kidney,1,,3_vital
AGRP,"epididymis, hypothalamus",2,,3_vital
AGT,liver,1,,3_vital
AGTPBP1,"bone marrow, retina",2,2.0180429264340066e-06,3_vital
AGTR1,"liver, placenta",2,,3_vital
AGTR2,"endometrium, lung, smooth muscle",3,,3_vital
AGTRAP,"bone marrow, choroid plexus",2,0.0019705506045442772,3_vital
AGXT,liver,1,,3_vital
AGXT2,"kidney, liver",2,,3_vital
AHCTF1,testis,1,,1b_testis_CT
AHCY,liver,1,,3_vital
AHCYL1,,0,,4_broad
AHCYL2,"choroid plexus, rectum",2,,3_vital
AHDC1,,0,,4_broad
AHI1,retina,1,,3_vital
AHNAK,,0,,4_broad
AHNAK2,skin,1,,2_restricted
AHR,urinary bladder,1,,2_restricted
AHRR,testis,1,,1b_testis_CT
AHSA1,,0,,4_broad
AHSG,liver,1,,3_vital
AHSP,bone marrow,1,1.2086732381270341e-79,1a_lymphoid
AICDA,"lymph node, tonsil",2,3.999752917491783e-08,1a_lymphoid
AIDA,adipose tissue,1,,2_restricted
AIF1,spleen,1,2.490591767534003e-07,1a_lymphoid
AIF1L,"kidney, spinal cord",2,,3_vital
AIFM1,"heart muscle, liver",2,,3_vital
AIFM2,"adipose tissue, breast",2,,2_restricted
AIFM3,choroid plexus,1,,3_vital
AIG1,liver,1,,3_vital
AIM2,"lymph node, tonsil",2,0.000118512309523068,1a_lymphoid
AIMP1,,0,,4_broad
AIMP2,"skeletal muscle, tongue",2,,3_vital
AIP,,0,,4_broad
AIPL1,retina,1,,3_vital
AIRE,"hypothalamus, thymus",2,0.04104491941461758,3_vital
AJAP1,"basal ganglia, cerebral cortex",2,,3_vital
AJM1,cerebellum,1,,3_vital
AJUBA,"liver, skin",2,,3_vital
AK1,"skeletal muscle, tongue",2,,3_vital
AK2,,0,,4_broad
AK3,"liver, skeletal muscle",2,,3_vital
AK4,"kidney, liver",2,,3_vital
AK5,cerebral cortex,1,,3_vital
AK6,skeletal muscle,1,,3_vital
AK7,"choroid plexus, fallopian tube",2,,3_vital
AK8,"epididymis, fallopian tube, testis",3,,2_restricted
AK9,"choroid plexus, testis",2,,3_vital
AKAIN1,cerebellum,1,,3_vital
AKAP1,skeletal muscle,1,,3_vital
AKAP10,,0,,4_broad
AKAP11,"cerebral cortex, retina",2,,3_vital
AKAP12,"adipose tissue, retina",2,,3_vital
AKAP13,skeletal muscle,1,,3_vital
AKAP14,"choroid plexus, testis",2,,3_vital
AKAP17A,,0,,4_broad
AKAP3,testis,1,,1b_testis_CT
AKAP4,testis,1,,1b_testis_CT
AKAP5,"basal ganglia, cerebral cortex",2,,3_vital
AKAP6,"heart muscle, skeletal muscle, tongue",3,,3_vital
AKAP7,"adrenal gland, pancreas",2,,3_vital
AKAP8,skeletal muscle,1,,3_vital
AKAP8L,skeletal muscle,1,,3_vital
AKAP9,retina,1,,3_vital
AKIP1,skeletal muscle,1,,3_vital
AKIRIN1,"bone marrow, testis",2,0.011226323133834811,1a_lymphoid
AKIRIN2,"bone marrow, skeletal muscle",2,0.01922778568167335,3_vital
AKNA,spleen,1,0.0006463010999126651,1a_lymphoid
AKNAD1,testis,1,,1b_testis_CT
AKR1A1,"kidney, liver",2,,3_vital
AKR1B1,adrenal gland,1,,3_vital
AKR1B10,"duodenum, stomach",2,,2_restricted
AKR1B15,breast,1,,2_restricted
AKR1C1,liver,1,,3_vital
AKR1C2,liver,1,,3_vital
AKR1C3,duodenum,1,,2_restricted
AKR1C4,liver,1,,3_vital
AKR1C8,liver,1,,3_vital
AKR1D1,liver,1,,3_vital
AKR1E2,testis,1,,1b_testis_CT
AKR7A2,choroid plexus,1,,3_vital
AKR7A3,"pancreas, stomach",2,,3_vital
AKT1,,0,,4_broad
AKT1S1,skeletal muscle,1,,3_vital
AKT2,tongue,1,,2_restricted
AKT3,blood vessel,1,,2_restricted
AKTIP,skeletal muscle,1,,3_vital
ALAD,"adrenal gland, liver",2,,3_vital
ALAS1,"adrenal gland, liver",2,,3_vital
ALAS2,bone marrow,1,7.299461573145554e-51,1a_lymphoid
ALB,liver,1,,3_vital
ALCAM,parathyroid gland,1,,2_restricted
ALDH16A1,spleen,1,0.025202378598415877,1a_lymphoid
ALDH18A1,"duodenum, salivary gland",2,,2_restricted
ALDH1A1,liver,1,,3_vital
ALDH1A2,"endometrium, fallopian tube",2,,2_restricted
ALDH1A3,"prostate, urinary bladder",2,,2_restricted
ALDH1B1,"blood vessel, liver",2,,3_vital
ALDH1L1,liver,1,,3_vital
ALDH1L2,pancreas,1,,3_vital
ALDH2,liver,1,,3_vital
ALDH3A1,esophagus,1,,2_restricted
ALDH3A2,liver,1,,3_vital
ALDH3B1,"bone marrow, lung",2,0.006314807361525318,3_vital
ALDH3B2,"esophagus, skin",2,,2_restricted
ALDH4A1,liver,1,,3_vital
ALDH5A1,liver,1,,3_vital
ALDH6A1,"kidney, liver",2,,3_vital
ALDH7A1,liver,1,,3_vital
ALDH8A1,liver,1,,3_vital
ALDH9A1,liver,1,,3_vital
ALDOA,skeletal muscle,1,,3_vital
ALDOB,"kidney, liver",2,,3_vital
ALDOC,,0,,4_broad
ALG1,choroid plexus,1,,3_vital
ALG10,,0,,4_broad
ALG10B,retina,1,,3_vital
ALG11,,0,,4_broad
ALG12,,0,,4_broad
ALG13,,0,,4_broad
ALG14,adrenal gland,1,,3_vital
ALG1L2,retina,1,,3_vital
ALG2,epididymis,1,,2_restricted
ALG3,liver,1,,3_vital
ALG5,"epididymis, pancreas",2,,3_vital
ALG6,,0,,4_broad
ALG8,"liver, testis",2,,3_vital
ALG9,pancreas,1,,3_vital
ALK,pituitary gland,1,,3_vital
ALKAL1,"gallbladder, thyroid gland",2,,2_restricted
ALKAL2,adrenal gland,1,,3_vital
ALKBH1,tongue,1,,2_restricted
ALKBH2,liver,1,,3_vital
ALKBH3,skeletal muscle,1,,3_vital
ALKBH4,cerebellum,1,,3_vital
ALKBH5,skeletal muscle,1,,3_vital
ALKBH6,,0,,4_broad
ALKBH7,testis,1,,1b_testis_CT
ALKBH8,,0,,4_broad
ALLC,testis,1,,1b_testis_CT
ALMS1,testis,1,,1b_testis_CT
ALOX12,"cervix, vagina",2,,2_restricted
ALOX12B,skin,1,,2_restricted
ALOX15,adipose tissue,1,,2_restricted
ALOX15B,"breast, prostate",2,,2_restricted
ALOX5,"lung, spleen",2,1.8459750375515031e-06,3_vital
ALOX5AP,bone marrow,1,2.660885392682568e-14,1a_lymphoid
ALOXE3,skin,1,,2_restricted
ALPG,fallopian tube,1,,2_restricted
ALPI,"duodenum, small intestine",2,,2_restricted
ALPK1,bone marrow,1,0.015783779677034857,1a_lymphoid
ALPK2,"heart muscle, skeletal muscle, tongue",3,,3_vital
ALPK3,skeletal muscle,1,,3_vital
ALPL,"adrenal gland, lung",2,,3_vital
ALPP,"cervix, placenta",2,,2_restricted
ALS2,cerebellum,1,,3_vital
ALS2CL,"esophagus, kidney, skin",3,,3_vital
ALX1,kidney,1,,3_vital
ALX3,skin,1,,2_restricted
ALX4,"breast, choroid plexus",2,,3_vital
ALYREF,bone marrow,1,9.85988115740031e-10,1a_lymphoid
AMACR,"kidney, liver",2,,3_vital
AMBN,basal ganglia,1,,3_vital
AMBP,liver,1,,3_vital
AMBRA1,,0,,4_broad
AMD1,prostate,1,,2_restricted
AMDHD1,liver,1,,3_vital
AMDHD2,spleen,1,0.032177109765195895,1a_lymphoid
AMELX,epididymis,1,,2_restricted
AMELY,thyroid gland,1,,2_restricted
AMER1,tongue,1,,2_restricted
AMER2,,0,,4_broad
AMER3,cerebellum,1,,3_vital
AMFR,skeletal muscle,1,,3_vital
AMH,testis,1,,1b_testis_CT
AMHR2,"adrenal gland, ovary",2,,3_vital
AMIGO1,retina,1,,3_vital
AMIGO2,blood vessel,1,,2_restricted
AMIGO3,pituitary gland,1,,3_vital
AMMECR1,"bone marrow, retina",2,0.003418044234642897,3_vital
AMMECR1L,pancreas,1,,3_vital
AMN,small intestine,1,,2_restricted
AMN1,testis,1,,1b_testis_CT
AMOT,epididymis,1,,2_restricted
